DN,objectClass,distinguishedName,instanceType,whenCreated,whenChanged,subRefs,uSNCreated,dSASignature,uSNChanged,name,objectGUID,creationTime,forceLogoff,lockoutDuration,lockOutObservationWindow,lockoutThreshold,maxPwdAge,minPwdAge,minPwdLength,modifiedCountAtLastProm,nextRid,pwdProperties,pwdHistoryLength,objectSid,serverState,uASCompat,modifiedCount,auditingPolicy,nTMixedDomain,rIDManagerReference,fSMORoleOwner,systemFlags,wellKnownObjects,objectCategory,isCriticalSystemObject,gPLink,dSCorePropagationData,otherWellKnownObjects,masteredBy,ms-DS-MachineAccountQuota,msDS-Behavior-Version,msDS-PerUserTrustQuota,msDS-AllUsersTrustQuota,msDS-PerUserTrustTombstonesQuota,msDs-masteredBy,msDS-IsDomainFor,msDS-NcType,dc,cn,description,showInAdvancedViewOnly,ou,msDS-TombstoneQuotaFactor,displayName,flags,versionNumber,gPCFunctionalityVersion,gPCFileSysPath,gPCMachineExtensionNames,ipsecName,ipsecID,ipsecDataType,ipsecData,ipsecISAKMPReference,ipsecNFAReference,ipsecOwnersReference,ipsecNegotiationPolicyReference,ipsecFilterReference,iPSECNegotiationPolicyType,iPSECNegotiationPolicyAction,revision,memberOf,userAccountControl,badPwdCount,codePage,countryCode,badPasswordTime,lastLogoff,lastLogon,logonHours,pwdLastSet,primaryGroupID,adminCount,accountExpires,logonCount,sAMAccountName,sAMAccountType,lastLogonTimestamp,groupType,member,samDomainUpdates,localPolicyFlags,operatingSystem,operatingSystemVersion,serverReferenceBL,dNSHostName,rIDSetReferences,servicePrincipalName,msDS-AdditionalDnsHostName,msDS-SupportedEncryptionTypes,msDS-GenerationId,msDFSR-ComputerReferenceBL,rIDAvailablePool,rIDAllocationPool,rIDPreviousAllocationPool,rIDUsedPool,rIDNextRID,dnsRecord,msDFSR-Flags,msDFSR-ReplicationGroupType,msDFSR-FileFilter,msDFSR-DirectoryFilter,serverReference,msDFSR-ComputerReference,msDFSR-MemberReferenceBL,msDFSR-Version,msDFSR-ReplicationGroupGuid,msDFSR-MemberReference,msDFSR-RootPath,msDFSR-StagingPath,msDFSR-Enabled,msDFSR-Options,msDFSR-ContentSetGuid,msDFSR-ReadOnly,sn,physicalDeliveryOfficeName,telephoneNumber,givenName,department,userPrincipalName,mail
"CN=RAS and IAS Servers Access Check,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=RAS and IAS Servers Access Check,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5839,,5839,RAS and IAS Servers Access Check,X'39227f5836bae14f8e8d295d1bd9c376',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,RAS and IAS Servers Access Check,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=File Replication Service,CN=System,DC=HAKAN,DC=LOCAL",nTFRSSettings,"CN=File Replication Service,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5840,,5840,File Replication Service,X'460253b8fdfdeb4da01359e118275db0',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=NTFRS-Settings,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,File Replication Service,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Dfs-Configuration,CN=System,DC=HAKAN,DC=LOCAL",dfsConfiguration,"CN=Dfs-Configuration,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5841,,5841,Dfs-Configuration,X'6a2162cc7c7bbd499a2e8306c4bc1f5a',,,,,,,,,,,,,,,,,,,,,,,"CN=Dfs-Configuration,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,Dfs-Configuration,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5842,,5842,IP Security,X'906fe6cd83d2d6469892b714afb0b747',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,IP Security,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ipsecPolicy{72385230-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",ipsecPolicy,"CN=ipsecPolicy{72385230-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5843,,5843,ipsecPolicy{72385230-70FA-11D1-864C-14A300000000},X'0b828614e7d2924f936599cbdd4f5608',,,,,,,,,,,,,,,,,,,,,,,"CN=Ipsec-Policy,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,ipsecPolicy{72385230-70FA-11D1-864C-14A300000000},"For all IP traffic, always request security using Kerberos trust. Allow unsecured communication with clients that do not respond to request.",TRUE,,,,,,,,,Server (Request Security),{72385230-70FA-11D1-864C-14A300000000},598,X'632120224c4fd111863b00a0248d302104000000302a000000',"CN=ipsecISAKMPPolicy{72385231-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL","CN=ipsecNFA{594272E2-071D-11D3-AD22-0060B0ECCA17},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL;CN=ipsecNFA{59319BE2-5EE3-11D2-ACE8-0060B0ECCA17},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL;CN=ipsecNFA{72385232-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ipsecISAKMPPolicy{72385231-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",ipsecISAKMPPolicy,"CN=ipsecISAKMPPolicy{72385231-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5844,,5844,ipsecISAKMPPolicy{72385231-70FA-11D1-864C-14A300000000},X'e37556557e7b554fbf0966620ab4f440',,,,,,,,,,,,,,,,,,,,,,,"CN=Ipsec-ISAKMP-Policy,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,ipsecISAKMPPolicy{72385231-70FA-11D1-864C-14A300000000},,TRUE,,,,,,,,,,{72385231-70FA-11D1-864C-14A300000000},598,X'b820dc80c82ed111a89e00a0248d30214001000068d219511d07d311ad220060b0ecca170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040000000000cdcd03000000400000000800000002000000400000000000000000000000000000000000000000cdcdcd02000000000000000000000080700000cdcdcdcd0000cdcd03000000400000000800000001000000400000000000000000000000000000000000000000cdcdcd02000000000000000000000080700000cdcdcdcd0000cdcd01000000400000000800000002000000400000000000000000000000000000000000000000cdcdcd01000000000000000000000080700000cdcdcdcd0000cdcd01000000400000000800000001000000400000000000000000000000000000000000000000cdcdcd01000000000000000000000080700000cdcdcdcd00',,,"CN=ipsecPolicy{72385230-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ipsecNFA{72385232-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",ipsecNFA,"CN=ipsecNFA{72385232-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5845,,5845,ipsecNFA{72385232-70FA-11D1-864C-14A300000000},X'c56ed6ecd7796347bf77fd3ad8c31abb',,,,,,,,,,,,,,,,,,,,,,,"CN=Ipsec-NFA,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,ipsecNFA{72385232-70FA-11D1-864C-14A300000000},"For all IP traffic, always request security using Kerberos trust. Allow unsecured communication with clients that do not respond to request.",TRUE,,,,,,,,,Request Security (Optional) Rule,{72385232-70FA-11D1-864C-14A300000000},598,X'00acbb118d49d111863900a0248d30212a0000000100000005000000020000000000fdffffff02000000000000000000000000000100000002000000000000',,,"CN=ipsecPolicy{72385230-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL","CN=ipsecNegotiationPolicy{72385233-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL","CN=ipsecFilter{7238523A-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ipsecNFA{59319BE2-5EE3-11D2-ACE8-0060B0ECCA17},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",ipsecNFA,"CN=ipsecNFA{59319BE2-5EE3-11D2-ACE8-0060B0ECCA17},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5846,,5846,ipsecNFA{59319BE2-5EE3-11D2-ACE8-0060B0ECCA17},X'f44422af98aff4408142a0f4948b0ce2',,,,,,,,,,,,,,,,,,,,,,,"CN=Ipsec-NFA,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,ipsecNFA{59319BE2-5EE3-11D2-ACE8-0060B0ECCA17},,TRUE,,,,,,,,,,{59319BE2-5EE3-11D2-ACE8-0060B0ECCA17},598,X'00acbb118d49d111863900a0248d30212a0000000100000005000000020000000000fdffffff02000000000000000000000000000100000002000000000000',,,"CN=ipsecPolicy{72385230-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL","CN=ipsecNegotiationPolicy{59319BDF-5EE3-11D2-ACE8-0060B0ECCA17},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ipsecNFA{594272E2-071D-11D3-AD22-0060B0ECCA17},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",ipsecNFA,"CN=ipsecNFA{594272E2-071D-11D3-AD22-0060B0ECCA17},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5847,,5847,ipsecNFA{594272E2-071D-11D3-AD22-0060B0ECCA17},X'54b110787450754ca2f379cbcfcfc6bc',,,,,,,,,,,,,,,,,,,,,,,"CN=Ipsec-NFA,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,ipsecNFA{594272E2-071D-11D3-AD22-0060B0ECCA17},Permit unsecure ICMP packets to pass through.,TRUE,,,,,,,,,Permit unsecure ICMP packets to pass through.,{594272E2-071D-11D3-AD22-0060B0ECCA17},598,X'00acbb118d49d111863900a0248d30212a0000000100000005000000020000000000fdffffff02000000000000000000000000000100000002000000000000',,,"CN=ipsecPolicy{72385230-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL","CN=ipsecNegotiationPolicy{7238523B-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL","CN=ipsecFilter{72385235-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ipsecNegotiationPolicy{72385233-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",ipsecNegotiationPolicy,"CN=ipsecNegotiationPolicy{72385233-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5860,,5860,ipsecNegotiationPolicy{72385233-70FA-11D1-864C-14A300000000},X'cf352df6c5112d448be262a8ebc6148a',,,,,,,,,,,,,,,,,,,,,,,"CN=Ipsec-Negotiation-Policy,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,ipsecNegotiationPolicy{72385233-70FA-11D1-864C-14A300000000},"Accepts unsecured communication, but requests clients to establish trust and security methods.  Will communicate insecurely to untrusted clients if they do not respond to request.",TRUE,,,,,,,,,Request Security (Optional),{72385233-70FA-11D1-864C-14A300000000},598,X'b920dc80c82ed111a89e00a0248d3021940100000500000084030000a086010000000000000000000100000003000000020000000200000040000000080000005c00530065007200760069006300650073005c0050006f006c006900630079004100670065006e0084030000a086010000000000000000000100000001000000020000000200000040000000080000000000000055f4b2375c004c006f00630015000f0001000800200265002002650058c47605f8ce78052c010000a086010000000000000000000100000002000000000000000100000040000000080000002d0039004100430031002d0034004400360044002d0041003100420030002d0031003500380037002c010000a08601000000000000000000010000000100000000000000010000004000000008000000650074005c00530065007200760069006300650073005c0050006f006c006900630079004100670000000000000000000000000000000000000000000100000001000000020000004000000008000000360043002d0033004200390037002d0034003500350032002d0038004500340035002d003900390000',,,"CN=ipsecNFA{72385232-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",,,{62F49E10-6C37-11D1-864C-14A300000000},{3F91A81A-7647-11D1-864D-D46A00000000},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ipsecFilter{7238523A-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",ipsecFilter,"CN=ipsecFilter{7238523A-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5863,,5863,ipsecFilter{7238523A-70FA-11D1-864C-14A300000000},X'24e100decf587b4888e522eb11dd4f4a',,,,,,,,,,,,,,,,,,,,,,,"CN=Ipsec-Filter,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,ipsecFilter{7238523A-70FA-11D1-864C-14A300000000},"Matches all IP packets from this computer to any other computer, except broadcast, multicast, Kerberos, RSVP and ISAKMP (IKE).",TRUE,,,,,,,,,All IP Traffic,{7238523A-70FA-11D1-864C-14A300000000},598,X'b520dc80c82ed111a89e00a0248d30214a00000001000000020000000000020000000000020000000000dd9b3159e35ed211ace80060b0ecca170100000000000000ffffffff00000000000000000000000000000000000000000000000000',,,"CN=ipsecNFA{72385232-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL;CN=ipsecNFA{7238523E-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ipsecNegotiationPolicy{59319BDF-5EE3-11D2-ACE8-0060B0ECCA17},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",ipsecNegotiationPolicy,"CN=ipsecNegotiationPolicy{59319BDF-5EE3-11D2-ACE8-0060B0ECCA17},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5857,,5857,ipsecNegotiationPolicy{59319BDF-5EE3-11D2-ACE8-0060B0ECCA17},X'cd3fa8d10231524e900b1c3295843245',,,,,,,,,,,,,,,,,,,,,,,"CN=Ipsec-Negotiation-Policy,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,ipsecNegotiationPolicy{59319BDF-5EE3-11D2-ACE8-0060B0ECCA17},,TRUE,,,,,,,,,,{59319BDF-5EE3-11D2-ACE8-0060B0ECCA17},598,X'b920dc80c82ed111a89e00a0248d3021e40100000600000000000000000000000000000000000000010000000300000002000000020000004000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000030000000100000002000000400000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000001000000020000000200000040000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000100000001000000020000004000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000020000000000000001000000400000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000001000000000000000100000040000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000',,,"CN=ipsecNFA{59319BE2-5EE3-11D2-ACE8-0060B0ECCA17},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",,,{62F49E13-6C37-11D1-864C-14A300000000},{8A171DD3-77E3-11D1-8659-A04F00000000},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ipsecNegotiationPolicy{7238523B-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",ipsecNegotiationPolicy,"CN=ipsecNegotiationPolicy{7238523B-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5862,,5862,ipsecNegotiationPolicy{7238523B-70FA-11D1-864C-14A300000000},X'f216fbef2d06b04f89ee37bfeab9fa18',,,,,,,,,,,,,,,,,,,,,,,"CN=Ipsec-Negotiation-Policy,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,ipsecNegotiationPolicy{7238523B-70FA-11D1-864C-14A300000000},Permit unsecured IP packets to pass through.,TRUE,,,,,,,,,Permit,{7238523B-70FA-11D1-864C-14A300000000},598,X'b920dc80c82ed111a89e00a0248d3021040000000000000000',,,"CN=ipsecNFA{594272E2-071D-11D3-AD22-0060B0ECCA17},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL;CN=ipsecNFA{594272FD-071D-11D3-AD22-0060B0ECCA17},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",,,{62F49E10-6C37-11D1-864C-14A300000000},{8A171DD2-77E3-11D1-8659-A04F00000000},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ipsecFilter{72385235-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",ipsecFilter,"CN=ipsecFilter{72385235-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5864,,5864,ipsecFilter{72385235-70FA-11D1-864C-14A300000000},X'bb083ad02e6f5848a0ffdc81b0b9084b',,,,,,,,,,,,,,,,,,,,,,,"CN=Ipsec-Filter,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,ipsecFilter{72385235-70FA-11D1-864C-14A300000000},Matches all ICMP packets between this computer and any other computer.,TRUE,,,,,,,,,All ICMP Traffic,{72385235-70FA-11D1-864C-14A300000000},598,X'b520dc80c82ed111a89e00a0248d302152000000010000000200000000000200000000000a000000490043004d005000000063d219511d07d311ad220060b0ecca170100000000000000ffffffff00000000000000000000000001000000000000000000000000',,,"CN=ipsecNFA{594272E2-071D-11D3-AD22-0060B0ECCA17},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL;CN=ipsecNFA{594272FD-071D-11D3-AD22-0060B0ECCA17},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ipsecPolicy{72385236-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",ipsecPolicy,"CN=ipsecPolicy{72385236-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5848,,5848,ipsecPolicy{72385236-70FA-11D1-864C-14A300000000},X'0361d66f51af804e9cee64bef62c6154',,,,,,,,,,,,,,,,,,,,,,,"CN=Ipsec-Policy,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,ipsecPolicy{72385236-70FA-11D1-864C-14A300000000},Communicate normally (unsecured). Use the default response rule to negotiate with servers that request security. Only the requested protocol and port traffic with that server is secured.,TRUE,,,,,,,,,Client (Respond Only),{72385236-70FA-11D1-864C-14A300000000},598,X'632120224c4fd111863b00a0248d302104000000302a000000',"CN=ipsecISAKMPPolicy{72385237-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL","CN=ipsecNFA{59319C04-5EE3-11D2-ACE8-0060B0ECCA17},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ipsecISAKMPPolicy{72385237-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",ipsecISAKMPPolicy,"CN=ipsecISAKMPPolicy{72385237-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5849,,5849,ipsecISAKMPPolicy{72385237-70FA-11D1-864C-14A300000000},X'c0eaff9fb2c4fb4492cf1438ba2c58f0',,,,,,,,,,,,,,,,,,,,,,,"CN=Ipsec-ISAKMP-Policy,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,ipsecISAKMPPolicy{72385237-70FA-11D1-864C-14A300000000},,TRUE,,,,,,,,,,{72385237-70FA-11D1-864C-14A300000000},598,X'b820dc80c82ed111a89e00a0248d30214001000073ec415f1d07d311ad220060b0ecca170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040000000000cdcd03000000400000000800000002000000400000000000000000000000000000000000000000cdcdcd02000000000000000000000080700000cdcdcdcd0000cdcd03000000400000000800000001000000400000000000000000000000000000000000000000cdcdcd02000000000000000000000080700000cdcdcdcd0000cdcd01000000400000000800000002000000400000000000000000000000000000000000000000cdcdcd01000000000000000000000080700000cdcdcdcd0000cdcd01000000400000000800000001000000400000000000000000000000000000000000000000cdcdcd01000000000000000000000080700000cdcdcdcd00',,,"CN=ipsecPolicy{72385236-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ipsecNFA{59319C04-5EE3-11D2-ACE8-0060B0ECCA17},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",ipsecNFA,"CN=ipsecNFA{59319C04-5EE3-11D2-ACE8-0060B0ECCA17},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5850,,5850,ipsecNFA{59319C04-5EE3-11D2-ACE8-0060B0ECCA17},X'249a3605d9bc194eac16d826f46d682f',,,,,,,,,,,,,,,,,,,,,,,"CN=Ipsec-NFA,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,ipsecNFA{59319C04-5EE3-11D2-ACE8-0060B0ECCA17},,TRUE,,,,,,,,,,{59319C04-5EE3-11D2-ACE8-0060B0ECCA17},598,X'00acbb118d49d111863900a0248d30212a0000000100000005000000020000000000fdffffff02000000000000000000000000000100000002000000000000',,,"CN=ipsecPolicy{72385236-70FA-11D1-864C-14A300000000},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL","CN=ipsecNegotiationPolicy{59319C01-5EE3-11D2-ACE8-0060B0ECCA17},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ipsecNegotiationPolicy{59319C01-5EE3-11D2-ACE8-0060B0ECCA17},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",ipsecNegotiationPolicy,"CN=ipsecNegotiationPolicy{59319C01-5EE3-11D2-ACE8-0060B0ECCA17},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5859,,5859,ipsecNegotiationPolicy{59319C01-5EE3-11D2-ACE8-0060B0ECCA17},X'a6d93b144a2ea74aa1ec22a5de1d7263',,,,,,,,,,,,,,,,,,,,,,,"CN=Ipsec-Negotiation-Policy,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,ipsecNegotiationPolicy{59319C01-5EE3-11D2-ACE8-0060B0ECCA17},,TRUE,,,,,,,,,,{59319C01-5EE3-11D2-ACE8-0060B0ECCA17},598,X'b920dc80c82ed111a89e00a0248d3021e40100000600000000000000000000000000000000000000010000000300000002000000020000004000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000030000000100000002000000400000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000001000000020000000200000040000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000100000001000000020000004000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000020000000000000001000000400000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000001000000000000000100000040000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000',,,"CN=ipsecNFA{59319C04-5EE3-11D2-ACE8-0060B0ECCA17},CN=IP Security,CN=System,DC=HAKAN,DC=LOCAL",,,{62F49E13-6C37-11D1-864C-14A300000000},{8A171DD3-77E3-11D1-8659-A04F00000000},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
